Communication timer, comunication counter, latest time of propagation, number of nodes spread, number of positive ack, number of negative ack, number of requests
119,2,119,1,1,0,0
230,3,119,1,2,0,0
230,6,230,3,3,0,0
350,7,230,3,4,0,0
350,10,350,5,5,0,0
350,13,350,7,6,0,0
350,14,350,7,7,0,0
350,15,350,7,7,1,0
350,16,350,7,7,2,0
350,17,350,7,7,3,0
350,18,350,7,7,4,0
470,19,350,7,8,4,0
470,20,350,7,9,4,0
470,22,470,8,10,4,0
470,23,470,8,11,4,0
470,27,470,11,11,5,0
590,28,470,11,12,5,0
590,29,470,11,13,5,0
590,30,470,11,14,5,0
590,31,470,11,15,5,0
590,33,590,12,16,5,0
590,39,590,17,17,5,0
590,41,590,18,18,5,0
590,42,590,18,18,6,0
590,43,590,18,18,7,0
590,44,590,18,18,8,0
590,45,590,18,18,9,0
590,46,590,18,18,10,0
691,47,590,18,19,10,0
691,48,590,18,20,10,0
691,49,590,18,21,10,0
691,50,590,18,22,10,0
691,51,590,18,23,10,0
691,52,590,18,24,10,0
692,53,590,18,25,10,0
692,57,692,21,26,10,0
692,64,692,27,27,10,0
692,65,692,27,27,11,0
692,66,692,27,27,12,0
692,67,692,27,27,13,0
692,68,692,27,27,14,0
692,69,692,27,27,15,0
692,70,692,27,27,16,0
692,71,692,27,27,17,0
692,72,692,27,27,18,0
692,73,692,27,27,19,0
791,77,791,30,27,20,0
792,78,791,30,28,20,0
792,79,791,30,29,20,0
792,80,791,30,30,20,0
792,81,791,30,31,20,0
792,82,791,30,32,20,0
792,83,791,30,33,20,0
792,86,792,32,34,20,0
793,90,793,35,35,20,0
793,91,793,35,35,21,0
793,92,793,35,35,22,0
793,93,793,35,35,23,0
793,94,793,35,35,24,0
900,95,793,35,36,24,0
900,96,793,35,37,24,0
900,97,793,35,38,24,0
900,98,793,35,39,24,0
900,99,793,35,40,24,0
900,100,793,35,41,24,0
900,101,793,35,42,24,0
900,103,900,36,43,24,0
900,109,900,41,44,24,0
900,115,900,46,45,24,0
900,116,900,46,46,24,0
900,117,900,46,46,25,0
900,118,900,46,46,26,0
900,119,900,46,46,27,0
900,120,900,46,46,28,0
900,121,900,46,46,29,0
900,122,900,46,46,30,0
900,123,900,46,46,31,0
900,124,900,46,46,32,0
900,125,900,46,46,33,0
900,126,900,46,46,34,0
1010,127,900,46,47,34,0
1010,128,900,46,48,34,0
1010,129,900,46,49,34,0
1010,130,900,46,50,34,0
1010,131,900,46,51,34,0
1010,132,900,46,52,34,0
1010,133,900,46,53,34,0
1010,134,900,46,54,34,0
1010,137,1010,48,55,34,0
1010,139,1010,49,56,34,0
1012,148,1012,57,57,34,0
1012,149,1012,57,57,35,0
1012,150,1012,57,57,36,0
1012,151,1012,57,57,37,0
1012,152,1012,57,57,38,0
1012,153,1012,57,57,39,0
1012,154,1012,57,57,40,0
1012,155,1012,57,57,41,0
1012,156,1012,57,57,42,0
1012,157,1012,57,57,43,0
1132,158,1012,57,58,43,0
1132,159,1012,57,59,43,0
1132,160,1012,57,60,43,0
1134,161,1012,57,61,43,0
1134,162,1012,57,62,43,0
1134,163,1012,57,63,43,0
1134,164,1012,57,64,43,0
1134,165,1012,57,65,43,0
1134,166,1012,57,66,43,0
1134,167,1012,57,67,43,0
1134,168,1012,57,68,43,0
1134,170,1134,58,69,43,0
1134,171,1134,58,70,43,0
1134,172,1134,58,71,43,0
1140,179,1140,64,72,43,0
1140,188,1140,72,72,44,0
1140,189,1140,72,72,45,0
1140,190,1140,72,72,46,0
1140,191,1140,72,72,47,0
1140,192,1140,72,72,48,0
1140,193,1140,72,72,49,0
1140,194,1140,72,72,50,0
1140,195,1140,72,72,51,0
1140,196,1140,72,72,52,0
1140,197,1140,72,72,53,0
1140,198,1140,72,72,54,0
1140,199,1140,72,72,55,0
1140,200,1140,72,72,56,0
1140,201,1140,72,72,57,0
1140,202,1140,72,72,58,0
1234,207,1234,76,72,59,0
1235,208,1234,76,73,59,0
1236,211,1235,78,74,59,0
1236,215,1236,81,75,59,0
1236,218,1236,83,76,59,0
1236,219,1236,83,76,60,0
1236,220,1236,83,76,61,0
1236,221,1236,83,76,62,0
1236,222,1236,83,76,63,0
1236,223,1236,83,76,64,0
1236,224,1236,83,76,65,0
1236,225,1236,83,76,66,0
1236,226,1236,83,76,67,0
1240,227,1236,83,77,67,0
1240,229,1240,84,78,67,0
1240,230,1240,84,79,67,0
1241,231,1240,84,80,67,0
1241,232,1240,84,81,67,0
1241,233,1240,84,82,67,0
1241,234,1240,84,83,67,0
1241,235,1240,84,84,67,0
1241,236,1240,84,84,68,0
1241,237,1240,84,84,69,0
1334,239,1334,85,84,70,0
1334,240,1334,85,84,71,0
1334,241,1334,85,84,72,0
1335,243,1334,86,85,72,0
1335,244,1334,86,86,72,0
1335,245,1334,86,86,73,0
1335,246,1334,86,86,74,0
1336,250,1336,89,86,75,0
1336,251,1336,89,86,76,0
1337,252,1336,89,87,76,0
1337,253,1336,89,88,76,0
1337,254,1336,89,89,76,0
1337,255,1336,89,90,76,0
1337,258,1337,91,91,76,0
1337,259,1337,91,91,77,0
1337,260,1337,91,91,78,0
1337,261,1337,91,91,79,0
1337,262,1337,91,91,80,0
1341,266,1341,94,91,81,0
1341,267,1341,94,91,82,0
1342,268,1341,94,92,82,0
1342,269,1341,94,93,82,0
1342,270,1341,94,94,82,0
1342,272,1342,95,95,82,0
1342,273,1342,95,95,83,0
1342,274,1342,95,95,84,0
1435,276,1435,96,96,84,0
1435,277,1435,96,96,85,0
1436,279,1436,97,97,85,0
1437,281,1437,98,98,85,0
1437,282,1437,98,98,86,0
1438,283,1437,98,99,86,0
1438,284,1437,98,100,86,0
1438,288,1438,101,101,86,0
1442,289,1438,101,102,86,0
1442,292,1442,103,103,86,0
1442,293,1442,103,103,87,0
1443,294,1442,103,104,87,0
1443,295,1442,103,105,87,0
1443,299,1443,106,106,87,0
1443,301,1443,107,107,87,0
1443,302,1443,107,107,88,0
1443,303,1443,107,107,89,0
1443,304,1443,107,107,90,0
1443,305,1443,107,107,91,0
1536,307,1536,108,108,91,0
1536,308,1536,108,108,92,0
1536,309,1536,108,108,93,0
1537,311,1537,109,109,93,0
1537,312,1537,109,109,94,0
1538,314,1538,110,110,94,0
1538,315,1538,110,110,95,0
1539,316,1538,110,111,95,0
1539,317,1538,110,112,95,0
1539,319,1539,111,113,95,0
1539,322,1539,113,114,95,0
1539,324,1539,114,114,96,0
1539,325,1539,114,114,97,0
1539,326,1539,114,114,98,0
1539,327,1539,114,114,99,0
1539,328,1539,114,114,100,0
1539,329,1539,114,114,101,0
1539,330,1539,114,114,102,0
1543,331,1539,114,115,102,0
1543,332,1539,114,116,102,0
1543,333,1539,114,117,102,0
1543,337,1543,117,117,103,0
1543,338,1543,117,117,104,0
1543,339,1543,117,117,105,0
1543,340,1543,117,117,106,0
1544,341,1543,117,118,106,0
1544,342,1543,117,119,106,0
1544,344,1544,118,119,107,0
1544,346,1544,119,119,108,0
1544,347,1544,119,119,109,0
1544,348,1544,119,119,110,0
1544,349,1544,119,119,111,0
1637,351,1637,120,120,111,0
1638,352,1637,120,121,111,0
1638,353,1637,120,121,112,0
1638,355,1638,121,121,113,0
1639,357,1639,122,122,113,0
1640,358,1639,122,123,113,0
1640,359,1639,122,124,113,0
1640,363,1640,125,125,113,0
1640,364,1640,125,125,114,0
1644,365,1640,125,126,114,0
1644,366,1640,125,127,114,0
1644,369,1644,127,127,115,0
1645,371,1645,128,128,115,0
1645,372,1645,128,128,116,0
1738,374,1738,129,129,116,0
1738,375,1738,129,129,117,0
1739,377,1739,130,130,117,0
1740,378,1739,130,131,117,0
1740,381,1740,132,132,117,0
1740,382,1740,132,132,118,0
1740,383,1740,132,132,119,0
1740,384,1740,132,132,120,0
1741,386,1741,133,133,120,0
1741,387,1741,133,134,120,0
1741,389,1741,134,135,120,0
1741,390,1741,134,136,120,0
1741,394,1741,137,137,120,0
1745,395,1741,137,138,120,0
1745,398,1745,139,139,120,0
1745,399,1745,139,139,121,0
1745,400,1745,139,139,122,0
1745,401,1745,139,139,123,0
1745,402,1745,139,139,124,0
1746,404,1746,140,140,124,0
1840,405,1746,140,141,124,0
1840,408,1840,142,142,124,0
1841,410,1841,143,143,124,0
1841,411,1841,143,144,124,0
1841,413,1841,144,144,125,0
1842,414,1841,144,145,125,0
1842,415,1841,144,146,125,0
1842,416,1841,144,147,125,0
1842,417,1841,144,148,125,0
1842,418,1841,144,149,125,0
1842,425,1842,150,150,125,0
1842,426,1842,150,151,125,0
1843,429,1843,152,152,125,0
1843,430,1843,152,152,126,0
1843,431,1843,152,152,127,0
1843,432,1843,152,152,128,0
1843,433,1843,152,152,129,0
1843,434,1843,152,152,130,0
1843,435,1843,152,152,131,0
1843,436,1843,152,152,132,0
1846,438,1846,153,153,132,0
1846,439,1846,153,153,133,0
1846,440,1846,153,153,134,0
1847,441,1846,153,154,134,0
1941,443,1847,154,155,134,0
1941,444,1847,154,156,134,0
1941,448,1941,157,157,134,0
1941,450,1941,158,158,134,0
1941,451,1941,158,158,135,0
1941,452,1941,158,158,136,0
1941,453,1941,158,158,137,0
1942,454,1941,158,159,137,0
1942,455,1941,158,160,137,0
1942,458,1942,160,160,138,0
1942,459,1942,160,160,139,0
1942,460,1942,160,160,140,0
1943,461,1942,160,161,140,0
1943,473,1943,171,161,141,0
1943,474,1943,171,161,142,0
1943,475,1943,171,161,143,0
1943,476,1943,171,161,144,0
1943,477,1943,171,161,145,0
1943,478,1943,171,161,146,0
1944,479,1943,171,162,146,0
1944,480,1943,171,163,146,0
1944,481,1943,171,164,146,0
1944,482,1943,171,165,146,0
1944,483,1943,171,166,146,0
1944,484,1943,171,167,146,0
1944,485,1943,171,168,146,0
1944,486,1943,171,169,146,0
1944,487,1943,171,170,146,0
1944,488,1943,171,171,146,0
1944,490,1944,172,172,146,0
1944,491,1944,172,172,147,0
1944,492,1944,172,172,148,0
1944,493,1944,172,172,149,0
1944,494,1944,172,172,150,0
1944,495,1944,172,172,151,0
1944,496,1944,172,172,152,0
1944,497,1944,172,172,153,0
1944,498,1944,172,172,154,0
2042,499,1944,172,173,154,0
2042,500,1944,172,174,154,0
2042,501,1944,172,175,154,0
2042,502,1944,172,176,154,0
2042,507,2042,176,177,154,0
2042,510,2042,178,178,154,0
2042,511,2042,178,178,155,0
2042,512,2042,178,178,156,0
2043,513,2042,178,178,157,0
2043,514,2042,178,178,158,0
2043,515,2042,178,178,159,0
2043,516,2042,178,178,160,0
2043,517,2042,178,178,161,0
2043,519,2043,179,179,161,0
2043,520,2043,179,179,162,0
2043,521,2043,179,179,163,0
2044,522,2043,179,180,163,0
2044,523,2043,179,181,163,0
2044,524,2043,179,182,163,0
2044,525,2043,179,183,163,0
2044,526,2043,179,184,163,0
2044,531,2044,183,184,164,0
2044,533,2044,184,184,165,0
2044,534,2044,184,184,166,0
2045,535,2044,184,185,166,0
2045,536,2044,184,186,166,0
2045,537,2044,184,187,166,0
2045,538,2044,184,188,166,0
2045,542,2045,187,189,166,0
2045,543,2045,187,189,167,0
2045,546,2045,189,189,168,0
2045,547,2045,189,189,169,0
2045,548,2045,189,189,170,0
2045,549,2045,189,189,171,0
2160,551,2160,190,190,171,0
2160,552,2160,190,191,171,0
2160,553,2160,190,192,171,0
2160,554,2160,190,193,171,0
2160,555,2160,190,194,171,0
2160,556,2160,190,195,171,0
2160,557,2160,190,196,171,0
2160,561,2160,193,196,172,0
2160,563,2160,194,197,172,0
2160,564,2160,194,198,172,0
2160,566,2160,195,199,172,0
2160,569,2160,197,200,172,0
2160,572,2160,199,201,172,0
2160,574,2160,200,202,172,0
2160,576,2160,201,203,172,0
2160,579,2160,203,204,172,0
2160,581,2160,204,204,173,0
2160,582,2160,204,204,174,0
2160,583,2160,204,204,175,0
2160,584,2160,204,204,176,0
2160,585,2160,204,204,177,0
2160,586,2160,204,204,178,0
2160,587,2160,204,204,179,0
2160,588,2160,204,204,180,0
2160,589,2160,204,204,181,0
2160,590,2160,204,204,182,0
2160,591,2160,204,204,183,0
2160,592,2160,204,204,184,0
2160,593,2160,204,204,185,0
2260,594,2160,204,205,185,0
2260,595,2160,204,206,185,0
2260,596,2160,204,207,185,0
2260,597,2160,204,208,185,0
2260,598,2160,204,209,185,0
2260,599,2160,204,210,185,0
2260,600,2160,204,211,185,0
2260,601,2160,204,211,186,0
2260,602,2160,204,212,186,0
2260,603,2160,204,213,186,0
2260,604,2160,204,214,186,0
2260,605,2160,204,215,186,0
2260,608,2260,206,216,186,0
2260,615,2260,212,217,186,0
2260,616,2260,212,218,186,0
2260,618,2260,213,219,186,0
2260,619,2260,213,220,186,0
2260,620,2260,213,221,186,0
2260,623,2260,215,222,186,0
2260,629,2260,220,222,187,0
2260,632,2260,222,222,188,0
2260,633,2260,222,222,189,0
2260,634,2260,222,222,190,0
2260,635,2260,222,222,191,0
2260,636,2260,222,222,192,0
2260,637,2260,222,222,193,0
2260,638,2260,222,222,194,0
2260,639,2260,222,222,195,0
2260,640,2260,222,222,196,0
2260,641,2260,222,222,197,0
2260,642,2260,222,222,198,0
2260,643,2260,222,222,199,0
2260,644,2260,222,222,200,0
2260,645,2260,222,222,201,0
2260,646,2260,222,222,202,0
2260,647,2260,222,222,203,0
2260,648,2260,222,222,204,0
2260,649,2260,222,222,205,0
2260,650,2260,222,222,206,0
2260,651,2260,222,222,207,0
2260,652,2260,222,222,208,0
2260,653,2260,222,222,209,0
2260,654,2260,222,222,210,0
2380,655,2260,222,223,210,0
2380,656,2260,222,224,210,0
2380,657,2260,222,225,210,0
2380,658,2260,222,226,210,0
2380,659,2260,222,227,210,0
2380,660,2260,222,228,210,0
2380,661,2260,222,229,210,0
2380,662,2260,222,230,210,0
2380,663,2260,222,231,210,0
2380,664,2260,222,232,210,0
2380,666,2380,223,233,210,0
2380,667,2380,223,234,210,0
2380,670,2380,225,235,210,0
2380,673,2380,227,236,210,0
2380,675,2380,228,237,210,0
2380,681,2380,233,237,211,0
2380,686,2380,237,237,212,0
2380,687,2380,237,237,213,0
2380,688,2380,237,237,214,0
2380,689,2380,237,237,215,0
2380,690,2380,237,237,216,0
2380,691,2380,237,237,217,0
2380,692,2380,237,237,218,0
2380,693,2380,237,237,219,0
2380,694,2380,237,237,220,0
2380,695,2380,237,237,221,0
2380,696,2380,237,237,222,0
2380,697,2380,237,237,223,0
2380,698,2380,237,237,224,0
2500,706,2500,244,238,224,0
2500,707,2500,244,239,224,0
2500,712,2500,248,240,224,0
2500,714,2500,249,241,224,0
2500,716,2500,250,242,224,0
2500,717,2500,250,243,224,0
2500,718,2500,250,244,224,0
2500,719,2500,250,245,224,0
2500,720,2500,250,246,224,0
2500,721,2500,250,247,224,0
2500,722,2500,250,248,224,0
2500,724,2500,251,249,224,0
2500,725,2500,251,250,224,0
2500,726,2500,251,251,224,0
2500,727,2500,251,252,224,0
2500,729,2500,252,252,225,0
2500,730,2500,252,252,226,0
2500,731,2500,252,252,227,0
2500,732,2500,252,252,228,0
2500,733,2500,252,252,229,0
2500,734,2500,252,252,230,0
2500,735,2500,252,252,231,0
2500,736,2500,252,252,232,0
2500,737,2500,252,252,233,0
2500,738,2500,252,252,234,0
2500,739,2500,252,252,235,0
2500,740,2500,252,252,236,0
2500,741,2500,252,252,237,0
2500,742,2500,252,252,238,0
2500,743,2500,252,252,239,0
2619,744,2500,252,253,239,0
2619,745,2500,252,254,239,0
2619,746,2500,252,255,239,0
2619,747,2500,252,256,239,0
2619,748,2500,252,257,239,0
2619,749,2500,252,258,239,0
2619,750,2500,252,259,239,0
2619,751,2500,252,260,239,0
2619,752,2500,252,261,239,0
2619,753,2500,252,262,239,0
2619,754,2500,252,263,239,0
2619,756,2619,253,264,239,0
2619,759,2619,255,265,239,0
2619,761,2619,256,266,239,0
2619,762,2619,256,267,239,0
2619,774,2619,267,267,240,0
2619,775,2619,267,267,241,0
2619,776,2619,267,267,242,0
2619,777,2619,267,267,243,0
2619,778,2619,267,267,244,0
2619,779,2619,267,267,245,0
2619,780,2619,267,267,246,0
2619,781,2619,267,267,247,0
2619,782,2619,267,267,248,0
2619,783,2619,267,267,249,0
2619,784,2619,267,267,250,0
2619,785,2619,267,267,251,0
2619,786,2619,267,267,252,0
2619,787,2619,267,267,253,0
2619,788,2619,267,267,254,0
2619,789,2619,267,267,255,0
2619,790,2619,267,267,256,0
2619,791,2619,267,267,257,0
2619,792,2619,267,267,258,0
2619,793,2619,267,267,259,0
2619,794,2619,267,267,260,0
2719,795,2619,267,268,260,0
2719,803,2719,274,269,260,0
2719,805,2719,275,270,260,0
2719,808,2719,277,271,260,0
2719,809,2719,277,272,260,0
2719,810,2719,277,273,260,0
2719,811,2719,277,274,260,0
2719,812,2719,277,275,260,0
2719,813,2719,277,276,260,0
2719,814,2719,277,277,260,0
2719,815,2719,277,277,261,0
2719,816,2719,277,277,262,0
2719,817,2719,277,277,263,0
2719,818,2719,277,277,264,0
2719,819,2719,277,277,265,0
2840,828,2840,285,278,265,0
2840,831,2840,287,279,265,0
2840,832,2840,287,280,265,0
2840,835,2840,289,281,265,0
2840,836,2840,289,282,265,0
2840,837,2840,289,283,265,0
2840,838,2840,289,284,265,0
2840,839,2840,289,285,265,0
2840,840,2840,289,286,265,0
2840,841,2840,289,287,265,0
2840,842,2840,289,288,265,0
2840,844,2840,290,289,265,0
2840,845,2840,290,290,265,0
2840,846,2840,290,291,265,0
2840,848,2840,291,291,266,0
2840,849,2840,291,291,267,0
2840,850,2840,291,291,268,0
2840,851,2840,291,291,269,0
2840,852,2840,291,291,270,0
2840,853,2840,291,291,271,0
2840,854,2840,291,291,272,0
2840,855,2840,291,291,273,0
2840,856,2840,291,291,274,0
2840,857,2840,291,291,275,0
2960,858,2840,291,292,275,0
2960,859,2840,291,293,275,0
2960,860,2840,291,294,275,0
2960,861,2840,291,295,275,0
2960,862,2840,291,296,275,0
2960,863,2840,291,297,275,0
2960,864,2840,291,298,275,0
2960,865,2840,291,299,275,0
2960,866,2840,291,300,275,0
2960,869,2960,293,301,275,0
2960,873,2960,296,302,275,0
2960,874,2960,296,303,275,0
2960,876,2960,297,304,275,0
2960,882,2960,302,305,275,0
2960,886,2960,305,305,276,0
2960,887,2960,305,305,277,0
2960,888,2960,305,305,278,0
2960,889,2960,305,305,279,0
2960,890,2960,305,305,280,0
2960,891,2960,305,305,281,0
2960,892,2960,305,305,282,0
2960,893,2960,305,305,283,0
2960,894,2960,305,305,284,0
2960,895,2960,3
