Communication timer, comunication counter, latest time of propagation, number of nodes spread, number of positive ack, number of negative ack, number of requests
32,1,0,0,0,1,0
32,2,0,0,0,2,0
32,3,0,0,0,3,0
32,4,0,0,0,4,0
32,5,0,0,0,5,0
32,6,0,0,0,6,0
32,7,0,0,0,7,0
32,8,0,0,0,8,0
32,9,0,0,0,9,0
32,10,0,0,0,10,0
32,11,0,0,0,11,0
32,12,0,0,0,12,0
32,13,0,0,0,13,0
32,14,0,0,0,14,0
32,15,0,0,0,15,0
32,16,0,0,0,16,0
32,17,0,0,0,17,0
32,18,0,0,0,18,0
32,19,0,0,0,19,0
32,20,0,0,0,20,0
32,21,0,0,0,21,0
32,22,0,0,0,22,0
32,23,0,0,0,23,0
32,24,0,0,0,24,0
32,25,0,0,0,25,0
32,26,0,0,0,26,0
32,27,0,0,0,27,0
32,28,0,0,0,28,0
32,29,0,0,0,29,0
32,30,0,0,0,30,0
32,31,0,0,0,31,0
32,32,0,0,0,32,0
32,33,0,0,0,33,0
32,34,0,0,0,34,0
32,35,0,0,0,35,0
32,36,0,0,0,36,0
32,37,0,0,0,37,0
32,38,0,0,0,38,0
32,39,0,0,0,39,0
32,40,0,0,0,40,0
32,41,0,0,0,41,0
32,42,0,0,0,42,0
32,43,0,0,0,43,0
32,44,0,0,0,44,0
32,45,0,0,0,45,0
32,46,0,0,0,46,0
32,47,0,0,0,47,0
32,48,0,0,0,48,0
32,49,0,0,0,49,0
32,50,0,0,0,50,0
32,51,0,0,0,51,0
32,52,0,0,0,52,0
32,53,0,0,0,53,0
32,54,0,0,0,54,0
32,55,0,0,0,55,0
32,56,0,0,0,56,0
32,57,0,0,0,57,0
32,58,0,0,0,58,0
32,59,0,0,0,59,0
32,60,0,0,0,60,0
32,61,0,0,0,61,0
32,62,0,0,0,62,0
32,63,0,0,0,63,0
32,64,0,0,0,64,0
32,65,0,0,0,65,0
32,66,0,0,0,66,0
32,67,0,0,0,67,0
32,68,0,0,0,68,0
32,69,0,0,0,69,0
32,70,0,0,0,70,0
32,71,0,0,0,71,0
32,72,0,0,0,72,0
32,73,0,0,0,73,0
32,74,0,0,0,74,0
32,75,0,0,0,75,0
32,76,0,0,0,76,0
32,77,0,0,0,77,0
32,78,0,0,0,78,0
32,79,0,0,0,79,0
32,80,0,0,0,80,0
32,81,0,0,0,81,0
32,82,0,0,0,82,0
32,83,0,0,0,83,0
33,84,0,0,0,84,0
33,85,0,0,0,85,0
33,86,0,0,0,86,0
33,87,0,0,0,87,0
33,88,0,0,0,88,0
33,89,0,0,0,89,0
33,90,0,0,0,90,0
33,91,0,0,0,91,0
33,92,0,0,0,92,0
33,93,0,0,0,93,0
33,94,0,0,0,94,0
33,95,0,0,0,95,0
33,96,0,0,0,96,0
33,97,0,0,0,97,0
33,98,0,0,0,98,0
47,99,0,0,0,99,0
47,100,0,0,0,100,0
47,101,0,0,0,101,0
47,102,0,0,0,102,0
47,103,0,0,0,103,0
47,104,0,0,0,104,0
47,105,0,0,0,105,0
47,106,0,0,0,106,0
47,107,0,0,0,107,0
47,108,0,0,0,108,0
47,109,0,0,0,109,0
47,110,0,0,0,110,0
47,111,0,0,0,111,0
48,112,0,0,0,112,0
48,113,0,0,0,113,0
48,114,0,0,0,114,0
48,115,0,0,0,115,0
48,116,0,0,0,116,0
48,117,0,0,0,117,0
48,118,0,0,0,118,0
48,119,0,0,0,119,0
48,120,0,0,0,120,0
48,121,0,0,0,121,0
48,122,0,0,0,122,0
48,123,0,0,0,123,0
48,124,0,0,0,124,0
48,125,0,0,0,125,0
48,126,0,0,0,126,0
48,127,0,0,0,127,0
48,128,0,0,0,128,0
48,129,0,0,0,129,0
48,130,0,0,0,130,0
48,131,0,0,0,131,0
48,132,0,0,0,132,0
48,133,0,0,0,133,0
48,134,0,0,0,134,0
48,135,0,0,0,135,0
48,136,0,0,0,136,0
48,137,0,0,0,137,0
48,138,0,0,0,138,0
48,139,0,0,0,139,0
48,140,0,0,0,140,0
48,141,0,0,0,141,0
48,142,0,0,0,142,0
48,143,0,0,0,143,0
48,144,0,0,0,144,0
48,145,0,0,0,145,0
48,146,0,0,0,146,0
48,147,0,0,0,147,0
48,148,0,0,0,148,0
48,149,0,0,0,149,0
48,150,0,0,0,150,0
48,151,0,0,0,151,0
48,152,0,0,0,152,0
48,153,0,0,0,153,0
48,154,0,0,0,154,0
48,155,0,0,0,155,0
48,156,0,0,0,156,0
48,157,0,0,0,157,0
48,158,0,0,0,158,0
48,159,0,0,0,159,0
48,160,0,0,0,160,0
48,161,0,0,0,161,0
48,162,0,0,0,162,0
48,163,0,0,0,163,0
48,164,0,0,0,164,0
49,165,0,0,0,165,0
49,166,0,0,0,166,0
49,167,0,0,0,167,0
49,168,0,0,0,168,0
49,169,0,0,0,169,0
49,170,0,0,0,170,0
49,171,0,0,0,171,0
49,172,0,0,0,172,0
